DE	EN	LEN	ROW	TIME
	Hot in Cleveland is recording in front of a live studio audio.	12	1	00:00:05a
	Airplane mirrors aren't accurate, are they?	4	2	00:00:05b
		2	3	00:00:07a
	Of course not.	3	4	00:00:12a
	Excuse me, are you...	4	5	00:00:13a
	Yes. I am Victoria Chase.	5	6	00:00:15a
Man versucht, unauffällig zu sein.	One tries to be inconspicuous.	5	7	00:00:18a
	Yes. That hat screams, ignore me.	6	8	00:00:23a
Einige Fans scheuen sich, mich anzusprechen.	Some fans are reluctant to approach me.		9	00:00:27a
Seitdem die Sendung eingestellt wurde.	Ever since the show was canceled.		9	00:00:27b
Seitdem am Rande des morgigen Tages eingestellt wurde.	Ever since the edge of tomorrow was canceled.		9	00:00:27b
	Playing Honor Saint raven for the past 27 years Has been a privilege and it is always so gratifying	19	10	00:00:29a
	To meet those that I have moved and touched.	9	11	00:00:36a
Eigentlich wollte ich Sie fragen, ob Sie sich wohl fühlen.	Actually, what I was going to ask was, are you comfortable?	8	12	00:00:36b
Nein, aber ich werde mich wohlfühlen, wenn Sie mir einen Drink bringen.	No, but I will be when you bring me a drink.	11	14	00:00:43a
Champagner, drei.	Champagne, three.	2	15	00:00:43b
Sofort.	Right away.	2	16	00:00:45a
Okay, Victoria, leg dein Handy weg.	Okay, Victoria, put away your phone.	6	17	00:00:48a
Joy, leg deine Arbeitsblätter weg,	Joy, put away your spreadsheets,	5	18	00:00:50a
Ich möchte einen Toast ausbringen.	I want to have a toast.	6	19	00:00:50b
	Thank you.	2	20	00:00:53a
	Here's to number 122.	4	21	00:00:54a
	Cash in your miles and fly to Paris with your best friends.	12	22	00:01:00a
Das wird ein Spaß.	This is gonna be fun.	5	23	00:01:00b
Ja. Ich werde eine Serviette holen.	Yes. I'm gonna get a napkin.	6	24	00:01:05a
Bin gleich zurück.	Be right back.	3	25	00:01:11a
Anders sitzt im Flieger.	Anders is on the plane.	5	26	00:01:13a
	Your husband, Anders?	3	27	00:01:15a
	Oh my God!	3	28	00:01:16a
Komm einfach runter.	Just calm down.	3	29	00:01:16b
	You didn't know he was going to Paris?	8	30	00:01:19a
	We haven't spoken in months.	5	31	00:01:19b
	Our lawyers told us.	4	32	00:01:21a
	Your lawyers are right.	4	33	00:01:21b
	Ignore him.	2	34	00:01:24a
Es ist einfach ein schrecklicher Zufall.	It's just a hideous coincidence.	5	35	00:01:28a
Aber was, wenn es kein Zufall ist?	But what if it's not a coincidence?	7	36	00:01:28b
Was, wenn er mich auch vermisst?	What if he's missing me too?	6	37	00:01:32a
	And Los Angeles was filled with so many sad memories,	10	38	00:01:35a
	He's flying to Paris to fill a void in his life?	11	39	00:01:39a
	What if this is our meet on top of the empire state building moment?	14	40	00:01:42a
	Have you been watching sleepless in Seattle again?	8	41	00:01:47a
Aber ich habe es auf einmal im Monat reduziert.	But I got it down to once a month.	9	42	00:01:49a
Ich war für eine Rolle in diesem Film vorgesehen.	I was up for a part in that movie.	9	43	00:01:49b
	Of course you were.	4	44	00:01:53a
	Igo talk to him.	4	45	00:01:55a
	Remember, romantic comedies are like cellulite cures.	7	46	00:01:58a
	Every one of them is a lie.	7	47	00:02:03a
	Oh, my goodness.	3	48	00:02:05a
	Melanie.	1	49	00:02:05b
	Anders.	1	50	00:02:08a
Ich habe dich nicht in das Flugzeug steigen sehen.	I didn't see you get on the plane.	8	51	00:02:08b
Was für eine Überraschung.	What a surprise.	3	52	00:02:11a
Du bist derjenige, der voller Überraschungen steckt.	You're the one full of surprises.	6	53	00:02:11b
	Traveling to Europe, reading fiction, and drinking club soda?	5	54	00:02:14a
		4	55	00:02:17a
	I know.	2	56	00:02:17b
	Where's your workaholic drunk of a husband?	7	57	00:02:20a
	I'm divorcing him, but you...	5	58	00:02:24a
	Hi, I'm Kim.	3	59	00:02:34a
Ich bin noch nicht mal auf ein Date gegangen.	I haven't even gone on a date yet.	15	60	00:02:39a
Und er nimmt seine Verlobte mit nach Paris.	And he's taking his fiancee to Paris.	15	60	00:02:39b
Und sie ist so jung.	And she's so young.	4	61	00:02:41a
Sie ist halb so alt wie ich.	She's half my age.	4	62	00:02:43a
Liebling, das ist wirklich nicht so jung.	Darling, that really isn't that young.	6	63	00:02:46a
	My fake age.	3	64	00:02:48a
