DE	EN	LENGTH	TAGS	TIME
	Hello, Lin Chan, Sales Manager for National Sugar - and my associate John Martin.	14	vtt	00:00:14
	Very pleased to meet you.	05	vtt	00:00:14
	I'm Victor Tang, and this is my legal adviser Sue Panay.	11	vtt	00:00:19
	I hope you had a pleasant flight over.	08	vtt	00:00:20
	Yes, we did thanks.	04	vtt	00:00:21
	Are you staying for a few days?	07	vtt	00:00:23
	Unfortunately we need to get back to Manila tomorrow.	09	vtt	00:00:25
	Well, we'd better get down to business.	07	vtt	00:00:25
	Mr Tang, to start off with, I just want to say we believe we can offer you a very good deal and come up with a win-win result.	28	vtt	00:00:41
	Well, from our point of view, we see it as an exploratory talk - testing the water you might say.	20	vtt	00:00:47
	We don't intend to reach any agreements at this meeting - in any case we would need to run it past our board first.	24	vtt	00:00:53
	You haven't heard our terms yet - you may find them hard to resist!	14	vtt	00:00:56
	Of course we understand you need time to consider any offer.	11	vtt	00:00:58
	My first priority is to keep the negotiations open.	09	vtt	00:01:06
	What's your proposal Ms Chan?	05	vtt	00:01:08
	We're prepared to offer a very attractive price for a minimum sale, in exchange for a two-year contract.	18	vtt	00:01:13
	John will clarify the terms.	05	vtt	00:01:25
	A negotiation is a discussion that should result in an agreement or business contract.	14	vtt	00:01:31
	The discussion is usually between two parties or organisations - trying to reach an agreement satisfactory to both.	18	vtt	00:01:40
	In a negotiation, we need to reach a position that it is not too difficult for either side to accept, so the language we use is important and it's also important to listen carefully.	34	vtt	00:01:54
	When starting a negotiation, begin with a greeting, and what we call 'small-talk' - something to 'break the ice', or make the meeting a friendly one.	26	vtt	00:02:04
	Hello, Lin Chan, Sales Manager for National Sugar, and my associate John Martin.	13	vtt	00:02:09
	Lin starts by introducing herself and her associate.	08	vtt	00:02:21
	It's important that everyone at the meeting knows their roles, so Victor also introduces Sue by telling them her job.	20	vtt	00:02:35
	Before they start the negotiations, John asks about their journey.	10	vtt	00:02:35
	He says, I hope you had a pleasant flight, and asks how long they are staying.	16	vtt	00:02:41
	This way, the negotiation starts in a relaxed and friendly atmosphere.	11	vtt	00:02:51
	Here are a few phrases you could use to put the other party at ease.	15	vtt	00:02:56
	I hope you had a pleasant flight.	07	vtt	00:03:01
	Are you enjoying Sydney?	04	vtt	00:03:02
	How is your hotel?	04	vtt	00:03:02
	In some cultures, it is usual not to talk about business straight away, but in others, it is expected that you will get down to business quickly.	27	vtt	00:03:15
	You just have to judge the situation, and feel your own way.	12	vtt	00:03:22
	How does Lin signal that it is time to start the negotiation?	12	vtt	00:03:27
	Lin says, We'd better get down to business.	08	vtt	00:03:32
	Notice that she makes it a suggestion.	07	vtt	00:03:32
	She is suggesting they should talk business.	07	vtt	00:03:39
	Practise some phrases for suggesting it's time to talk business.	10	vtt	00:03:43
	Shall we get down to business?	06	vtt	00:03:53
	Well, how about we get down to business?	08	vtt	00:03:53
	The next thing Lin does is make an opening statement.	10	vtt	00:04:02
	An opening statement should tell the other person what you are expecting to get out of the meeting.	18	vtt	00:04:07
	The opening statement would normally be made by the person who requested the meeting.	14	vtt	00:04:13
	Lin says, to start off with and then she states what she wants to achieve.	15	vtt	00:04:22
	She says she is going to offer a very good deal, and that she wants to achieve a win-win result.	20	vtt	00:04:34
	She is signalling to the other party that she wants both of them to be happy with the outcome.	19	vtt	00:04:40
	Practise, with Lin, some phrases to introduce an opening statement.	10	vtt	00:04:47
	Let me start off by saying I'd like to begin by saying Let me kick things off by saying To 'kick things off' is to start a discussion.	28	vtt	00:05:06
	How do Victor and Sue respond?	06	vtt	00:05:06
	Victor says, from our point of view, and Lin says, we don't intend.	13	vtt	00:05:25
	They use the words 'our' and 'we', instead of 'my' and 'I' because they are talking as representatives of the company, not as individuals.	24	vtt	00:05:33
	If Victor was on his own, he might use 'I' and 'my' especially as the C.E.O.	16	vtt	00:05:41
	of the company.	03	vtt	00:05:49
