DE	EN	LEN	ROW	TIME
Ich danke Ihnen vielmals.	Thank you very much.	4	10	00:00:12a
Hallo, ich glaube, wir kennen uns noch nicht.	Hello, I don't think we've met.	6	20	00:00:12b
Freut mich, Sie kennenzulernen.	Pleased to meet you.	4	50	00:00:22a
Und von welcher Firma sind Sie, Herr Tang?	And what company are you from Mr Tang?	8	60	00:00:24a
OceanWide.	OceanWide.	1	70	00:00:24b
Ich bin der Handelsvertreter für diese Region.	I'm the sales representative for this region.	7	80	00:00:28a
Ah ja.	Ah yes.	2	90	00:00:28b
Ich kenne Ihre Firma.	I know your company.	4	100	00:00:28c
Ihr Geschäft expandiert im Moment sehr schnell.	Your business is expanding very rapidly at the moment.	9	110	00:00:33a
Ja, es geht uns recht gut.	Yes, we're doing quite well.	5	120	00:00:33b
Und Ihnen selbst?	And yourself?	2	130	00:00:33c
Für wen arbeiten Sie?	Who do you work for?	5	140	00:00:37a
Eigentlich arbeite ich für mich selbst.	Actually I work for myself.	5	150	00:00:37b
Ich bin der Geschäftsführer einer kleinen Export- und Verpackungsfirma.	I'm the C.E.O. of a small export and packaging company.	10	160	00:00:40a
Wir sind auf Meeresfrüchte spezialisiert.	We specialise in seafood.	4	170	00:00:44a
Es ist ein wachsender Markt.	It's a growing market.	4	180	00:00:46a
Ja, aber ein sehr wettbewerbsintensiver, Herr Tang.	Yes, but a very competitive one Mr Tang.	8	190	00:00:49a
Bitte nennen Sie mich Victor.	Please call me Victor.	4	200	00:00:51a
Sam. Victor, darf ich Ihnen jemanden vorstellen?	Sam. Victor, let me introduce you to someone.	8	210	00:00:55a
Lin, das ist Victor Tang. Er ist der Regionalvertreter für OceanWide.	Lin this is Victor Tang he's the regional rep. for OceanWide.	9	220	00:00:55b
Das ist Lin Chan, meine Verkaufsleiterin.	This is Lin Chan, my sales manager.	7	240	00:01:01a
Wie geht es Ihnen, Herr Tang?	How do you do Mr Tang?	6	250	00:01:02a
Mir geht es sehr gut, danke.	I'm very well thank you.	5	260	00:01:02b
Schön, Sie kennenzulernen, Frau Chan.	Nice to meet you Ms Chan.	6	270	00:01:05a
Ganz meinerseits.	And you.	2	280	00:01:07a
Kann ich Ihnen noch einen Drink anbieten?	Can I get you another drink?	6	290	00:01:12a
Danke sehr.	Thank you.	2	300	00:01:17a
	Let's look at introductions.	4	310	00:01:17b
	First how did Sam introduce himself to Victor who he didn't know?	12	320	00:01:25a
	Hello, I don't think we've met.	6	330	00:01:28a
	Pleased to meet you.	4	360	00:01:31a
	Sam said hello.	3	370	00:01:31b
	We can say hello in most situations.	7	380	00:01:31c
	He also said I don't think we've met.	8	390	00:01:31d
	This is a good phrase to use if you want to meet someone new.	14	400	00:01:42a
