DE	EN	LEN	ROW	TIME
Du bist früh aufgestanden.	You're up early.	3	0	00:00:03a
Nun, es ist ein wunderschöner Tag,	Well, it's a beautiful day,	5	1	00:00:03b
eine Schande, ihn mit Schlafen zu verschwenden.	shame to waste it sleeping.	5	2	00:00:06a
Dann musst du früh ins Bett gegangen sein.	Must've got to bed early then.	6	3	00:00:06b
Ich denke schon.	I guess.	2	4	00:00:09a
Nun, du weißt, was man sagt.	Well, you know what they say.	6	5	00:00:11a
Früh zu Bett,	Early to bed,	3	6	00:00:11b
früh aufstehen,	early to rise,	3	7	00:00:11c
macht einen Mann gesund,	makes a man healthy,	4	8	00:00:11d
wohlhabend und bekommt keinen Sex, hm?	wealthy and can't get laid, huh?	6	9	00:00:17a
Vielleicht versuche ich es nicht.	Maybe I'm not trying.	4	10	00:00:18a
	Yeah.	2	11	00:00:18b
Und such mich nächsten Monat auf dem Cover von Maxim.	And look for me next month on the cover of Maxim.	11	12	00:00:23a
Ich habe nichts an, außer dem Vakuum.	I'll have nothing on but the vacuum.	7	13	00:00:27a
Hey, du bist aber früh wach.	Hey, you're up early.	4	14	00:00:27b
	Yes, Alan,	3	15	00:00:27c
Ich bin früh aufgestanden.	I'm up early.	3	16	00:00:30a
Ich ging früh zu Bett und schlief allein.	I went to bed early and I slept alone.	9	17	00:00:30b
Willst du sonst noch etwas wissen?	Anything else you wanna know?	5	18	00:00:34a
War ich so launisch, wenn ich keinen Sex hatte?	Was I this cranky when I wasn't having sex?	9	19	00:00:37a
Nein, du warst eher ein mürrischer Heuler.	No, you were more of a sullen whiner.	8	20	00:00:40a
	Okay, Huggy Bear,	3	21	00:00:40b
Ich muss los.	I gotta go.	3	22	00:00:40c
	Oh, all right, Kandi, 	3	23	00:00:40d
Einen schönen Tag.	have a good day.	5	24	00:00:44a
	Yo, Daisy Mae.	3	25	00:00:47a
Nur so aus Neugierde,	Just out of curiosity,	4	26	00:00:47b
wenn du hier weggehst,	when you leave here,	4	27	00:00:47c
wo gehst du hin?	where is it you go?	5	28	00:00:50a
Zum Fitnessstudio.	To the gym.	4	29	00:00:50b
Ich muss mich um meinen Körper kümmern, denn er ist mein Instrument.	I have to take care of my body because it's my instrument.	12	30	00:00:55a
Meiner auch.	Mine too.	2	31	00:00:57a
Drei Bier und eine Bratwurst und mein Arsch verwandelt sich in ein Waldhorn.	Three beers and a bratwurst and my ass turns into a French horn.	13	32	00:01:03a
Echt jetzt?	Really?	1	33	00:01:03b
Jedes Mal, wenn ich Bier und Bratwurst gegessen habe, furze ich ganz viel.	Whenever I have beer and bratwurst I just fart a lot.	11	34	00:01:08a
	Okay. Okay,	2	35	00:01:08b
	Kandi, well,	2	36	00:01:08c
Wir sehen uns heute Abend.	I'll see you tonight.	4	37	00:01:11a
Tschüss, miteinander.	Bye, everybody.	2	38	00:01:12a
Herzlichen Glückwunsch, Alan.	Congratulations, Alan.	2	39	00:01:14a
Es sieht so aus, als hättest du ihr offiziell das Hirn rausgevögelt.	It looks like you've officially boinked her brains out.	9	40	00:01:18a
Okay, also ist sie nicht übermäßig anspruchsvoll.	Okay, so she's not overly sophisticated.	6	41	00:01:21a
Anspruchsvoll?	Sophisticated?	1	42	00:01:21b
Sie ist wie zwei Murmeln, die in einer Blechdose herumrollen.	She's two marbles rolling around in a tin can.	9	43	00:01:24a
	Hey, hey,	2	44	00:01:24b
Sie hat ein großes Herz,	she's got a great heart,	5	45	00:01:24c
sie ist warmherzig und liebevoll.	she's warm and loving.	4	46	00:01:28a
Und sie sorgt sich aufrichtig um mich.	And she genuinely cares for me.	6	47	00:01:28b
Ich korrigiere mich.	I stand corrected.	3	48	00:01:32a
Eine Murmel.	One marble.	2	49	00:01:35a
	Look, buddy,	2	50	00:01:35b
Ich bin froh, dass du endlich ein Instrument zum Spielen gefunden hast,	I'm happy you finally found an instrument to play,	9	51	00:01:38a
das nicht in deiner eigenen Hose steckt.	that isn't in your own pants.	6	52	00:01:42a
Aber sie hat eine Menge Zeit hier verbracht.	But she's been spending a lot of time here.	9	53	00:01:44a
Wenn du nicht vorsichtig bist,	If you're not careful,	4	54	00:01:44b
wird sie hier einziehen wollen.	she's gonna wanna move in.	5	55	00:01:47a
Wäre das so schlimm?	Would that be so bad?	5	56	00:01:49a
Hey, ich habe hier nicht viele Regeln,	Hey, I don't have a lot of rules around here,	10	57	00:01:51a
aber neun der zehn wichtigsten sind nur verschiedene Arten zu sagen.	but nine of the top ten are just different ways of saying	12	58	00:01:54a
Frauen ist es nicht erlaubt, hier zu leben.	Women are not allowed to live here.	7	59	00:01:57a
Sie kommen und sie gehen.	They come and they go.	5	60	00:01:59a
Oft tun sie eines davon mehrmals,	Often they do one of those multiple times,	8	61	00:01:59b
aber am Ende gehen sie immer.	but in the end they always go.	7	62	00:02:03a
Aber warum ist das so wichtig?	But why is that so important?	6	63	00:02:05a
Alan, es gibt ein natürliches Gleichgewicht in diesem Haus,	Alan, there's a natural balance in this house,	8	64	00:02:05b
das nicht gestört werden darf.	which must not be upset.	5	65	00:02:09a
Es ist wie im Amazonas-Regenwald.	It's like the Amazon rain forest.	6	66	00:02:11a
	You bring in one too many spider monkeys...	8	67	00:02:13a
	...you're up to your ass in tree frogs.	8	68	00:02:15a
	Oh tree frogs.	3	69	00:02:15b
	That clears up everything.	4	70	00:02:18a
	Don't patronize me,	3	71	00:02:18b
	you hump-happy simpleton.	3	72	00:02:21a
	You know what I'm saying.	5	73	00:02:21b
	I do. If Kandi were to move in here,	9	74	00:02:24a
	it would be an environmental disaster...	6	75	00:02:27a
	...of epic proportions.	3	76	00:02:27b
	Exactly.	1	77	00:02:29a
	She's been living here the past three weeks.	8	78	00:02:33a
	What? Who's the simpleton now?	5	79	00:02:37a
	Kandi got evicted from her apartment three weeks ago and she moved in here.	14	80	00:02:40a
	Oh, please,	2	81	00:02:40b
	if a woman was living in my own house for that long...	12	82	00:02:44a
	...I think I'd notice.	4	83	00:02:46a
	Oh, really?	2	84	00:02:46b
	Well, let's try a little experiment.	6	85	00:02:50a
	What color is the couch in the living room?	9	86	00:02:54a
	The couch?	2	87	00:02:54b
	No peeking.	2	88	00:02:54c
	What color is it?	4	89	00:02:58a
	Well, it's kind of a--	5	90	00:03:02a
	Beige-ish--	1	91	00:03:09a
	Tan. You sure?	3	92	00:03:11a
	Yeah, I'm sure.	3	93	00:03:13a
	Go look.	2	94	00:03:13b
	Fine. What the hell is that?	6	95	00:03:25a
	Your couch.	2	96	00:03:26a
	Jake spilled grape juice on it last summer.	8	97	00:03:28a
	I had it reupholstered.	4	98	00:03:29a
	Last summer?	2	99	00:03:29b
	Yeah, it was gone almost a month.	7	100	00:03:32a
	Berta and I bet on how long it would take you to notice.	13	101	00:03:35a
	I had 50 bucks on never.	6	102	00:03:38a
	All right,	2	103	00:03:38b
	all right this is unacceptable.	5	104	00:03:40a
	This is my house and if furniture's gonna get reupholstered or moved...	12	105	00:03:44a
	...or changed in any way whatsoever,	6	106	00:03:44b
	I demand to be consulted.	5	107	00:03:47a
	Okay, from now on.	4	108	00:03:47b
	I promise.	2	109	00:03:47c
	Thank you.	2	110	00:03:53a
	I bought the damn thing.	5	111	00:03:55a
	Think I'd have a vote,	5	112	00:03:55b
	maybe show me a swatch.	5	113	00:04:02a
	Hey, wait a minute,	4	114	00:04:02b
	did somebody say Kandi's living here?	6	115	00:04:33a
	Boy, am I thirsty.	4	116	00:04:34a
	That's because you sweat so much during sex.	8	117	00:04:38a
