DE	EN	LEN	ROW	TIME
Das ist also unser Angebot.	So that's our offer.	4	10	00:00:08a
Wir denken, es ist ein faires Angebot, mit Vorteilen für beide Seiten.	We think it's a fair one, with advantages for both sides.	11	20	00:00:13a
Ja, nun, wir sind bereit, über Ihr Angebot nachzudenken, Frau Chan,	Yes, well, we're prepared to consider your offer Ms Chan,	10	30	00:00:13b
wenn Sie einige Bedingungen akzeptieren können.	if you can accept some conditions.	6	40	00:00:18a
Und vorbehaltlich der Prüfung durch den Vorstand.	And subject to consideration by the board.	7	50	00:00:21a
Was sind die Bedingungen?	What are the conditions?	4	60	00:00:23a
Nun, zunächst einmal der Preis, den Sie vorschlagen.	Well, firstly the price you're proposing.	6	70	00:00:23b
Wäre dieser variabel, abhängig von Währungsschwankungen?	Would that be variable depending on currency fluctuations?	8	80	00:00:29a
Das Problem ist, dass wir uns derzeit in einem instabilen Umfeld befinden -	The issue is that we're in an unstable environment at the moment -	13	90	00:00:29b
der Wechselkurs könnte sich negativ auf uns auswirken.	the exchange rate could affect us negatively.	7	100	00:00:36a
Uns auch!	Us too!	2	110	00:00:37a
Das stimmt, aber das Problem ist, dass wir an den US-Dollar gebunden sind.	True, but the problem is that we're tied to the U.S. dollar.	12	120	00:00:40a
Wir könnten eine Absicherung gegen die Währung in beiden Richtungen in Betracht ziehen.	We could consider hedging against currency in both directions.	9	130	00:00:44a
Das wäre akzeptabel.	That would be acceptable.	4	140	00:00:47a
Ein weiteres Problem, das wir haben könnten, ist die Lieferung.	Another problem we may have is that of supply.	9	150	00:00:47b
Unsere Kunden benötigen oft kurzfristige Lieferungen.	Our customers often need supply at short notice.	8	160	00:00:53a
Wenn wir große Aufträge bekommen,	If we do get large orders,	6	170	00:00:53b
wir müssen die Lieferung garantieren,	we need to guarantee delivery,	5	180	00:00:53c
also müssen wir Vorräte anlegen.	so we need to stockpile.	5	190	00:00:53d
Die Schwierigkeit dabei ist der Kapitalaufwand.	The difficulty there is the capital outlay.	7	200	00:00:58a
Was halten Sie von einer teilweisen Verrechnung mit unseren Verkäufen?	How would you feel about a partial offset against our sales?	11	210	00:01:04a
Sie meinen ein Darlehen.	You mean a loan.	4	220	00:01:06a
Das nehme ich an.	I suppose so.	3	230	00:01:07a
Wären Sie mit einem Zahlungsaufschub einverstanden?	Would you be agreeable to a deferred payment?	8	240	00:01:07b
