DE	EN	LEN	ROW	TIME
	The world of investing can be a jungle.	8	1	00:00:51a
	Bulls.	1	2	00:00:51b
	Bears.	1	3	00:00:54a
	Danger at every turn.	4	4	00:00:55a
	That's why we at Stratton Oakmont pride ourselves on being the best.	12	5	00:01:01a
	Trained professionals to guide you through the financial wilderness.	9	6	00:01:06a
	Stratton Oakmont.	2	7	00:01:08a
Stabilität.	Stability.	1	8	00:01:10a
Integrität.	Integrity.	1	9	00:01:12a
Stolz.	Pride.	1	10	00:01:13a
	One! Two!	2	11	00:01:19a
	Three!	1	12	00:01:21a
	Twenty-five grand to the first cocksucker to nail a bull's-eye!	10	13	00:01:29a
	Come on!	2	14	00:01:31a
	Let's go!	2	15	00:01:33a
	One! Two!	2	16	00:01:37a
	Three!	1	17	00:01:39a
	My name is Jordan Belfort.	5	18	00:01:41a
	Not him.	2	19	00:01:42a
	Me. That's right.	3	20	00:01:44a
	I'm a former member of the middle class raised by two accountants in a tiny apartment in Bayside,	18	21	00:01:46a
	Queens.	1	22	00:01:51a
	The year I turned 26, as the head of my own brokerage firm,	13	23	00:01:54a
	I made $49 million, which really pissed me off because it was three shy of a million a week.	19	24	00:01:58a
	No, no, no.	3	25	00:02:04a
	My Ferrari was white, like Don Johnson's in Miami Vice.	10	26	00:02:06a
	Not red.	2	27	00:02:14a
	See that humongous estate down there?	6	28	00:02:16a
	That's my house.	3	29	00:02:18a
	For millionaires whose ships...	4	30	00:02:20a
	My wife, Naomi, the Duchess of Bay Ridge,	8	31	00:02:20b
	Brooklyn, a former model and Miller Lite girl.	8	32	00:02:27a
	Yeah. She was the one with my cock in her mouth in the Ferrari.	14	33	00:02:31a
	So put your dick back in your pants.	8	34	00:02:33a
	In addition to Naomi and my two perfect kids,	9	35	00:02:36a
	I own a mansion, private jet,	6	36	00:02:38a
	six cars, three horses, two vacation homes,	7	37	00:02:40a
	and a 170-foot yacht.	4	38	00:02:45a
	Anchors aweigh!	2	39	00:02:50a
	I also gamble like a degenerate.	6	40	00:02:50b
	I drink like a fish.	5	41	00:02:53a
	I fuck hookers maybe five,	5	42	00:02:53b
	six times a week.	4	43	00:02:56a
	I have three different federal agencies looking to indict me.	10	44	00:02:59a
	Oh, yeah, and I love drugs.	6	45	00:03:02a
