DE	EN	LEN	ROW	TIME
Ich danke Ihnen.	Thankyou.	1	10	00:00:18a
Es war mir ein großes Vergnügen, Sie, Sam und Lin, kennen zu lernen.	Well, it has been a great pleasure to meet you Sam, and Lin.	11	20	00:00:18b
Ja, wir haben uns auch gefreut, Sie kennenzulernen, Victor.	Yes, we've enjoyed meeting you too Victor.	7	40	00:00:24a
Ja, es war toll.	Yes, it's been great.	4	50	00:00:24b
Wie schade, dass Sie nach Hause müssen.	What a pity you have to go home.	8	60	00:00:28a
Nun, alle guten Dinge müssen zu einem Ende kommen.	Well, all good things must come to an end.	9	70	00:00:28b
Aber ich bin sicher, wir sehen uns wieder.	But I'm sure we'll meet again.	6	80	00:00:32a
Ja, das hoffe ich.	Yes, I hope so.	4	90	00:00:34a
Und viel Glück mit Ihrem Geschäft.	And good luck with your business.	6	100	00:00:34b
Ich bin sicher, es wird gut laufen.	I'm sure it will go well.	6	110	00:00:38a
Und ich wünsche Ihnen auch viel Erfolg.	And I wish you every success too.	7	120	00:00:40a
Nun, ich denke, wir sollten auf das Ende der Konferenz anstoßen,	Well, I think we should drink a toast to the end of the conference,	14	130	00:00:40b
und auf uns.	and to ourselves.	3	140	00:00:40c
Auf uns.	Here's to us.	3	150	00:00:45a
Prost!	Cheers!	3	160	00:00:53a
Wir sollten in Kontakt bleiben.	We should keep in touch.	5	170	00:00:54a
Ja. Habe ich Ihnen meine Karte gegeben?	Yes. Have I given you my card?	7	180	00:00:58a
Nein - vielen Dank.	No - thanks very much.	5	190	00:00:58b
Hier ist meine.	Here's mine.	2	200	00:01:02a
Haben Sie eine Karte Lin?	Do you have a card Lin?	6	210	00:01:06a
Ja. Vielen Dank.	Yes. Thank you.	3	220	00:01:07a
Ich schicke Ihnen eine E-Mail.	I'll send you an email.	5	230	00:01:07b
Und wenn Sie jemals in Singapur sind,	And if you're ever in Singapore,	6	240	00:01:07c
müssen Sie mich aufsuchen.	you must look me up.	5	250	00:01:14a
Das werden wir sicherlich tun.	We certainly will.	3	260	00:01:14b
Und Sie haben meine Nummer.	And you have my number.	5	270	00:01:14c
Wenn Sie das nächste Mal in Sydney sind,	When you're next in Sydney,	5	280	00:01:14d
rufen Sie mich an, wir trinken etwas.	give me a call, we'll have a drink.	8	290	00:01:20a
Darf ich diese mitnehmen?	May I take these?	4	300	00:01:23a
Nun, ich muss los, sonst verpasse ich meinen Flug.	Well, I'd better get going or I'll miss my flight.	10	310	00:01:26a
Ich wünsche Ihnen einen guten Heimflug.	Have a good flight home.	5	320	00:01:26b
Bon voyage.	Bon voyage.	2	330	00:01:29a
Auf Wiedersehen.	Goodbye.	1	340	00:01:29b
Bis zum nächsten Mal.	Until next time.	3	350	00:01:37a
Auf Wiedersehen.	Goodbye.	1	360	00:01:37b
	For the final program in the series we're looking at some of the phrases you may use when you're	19	370	00:01:41a
	saying goodbye to someone -	5	380	00:01:41b
	either for a short time, or a long time.	9	390	00:01:46a
	In our example, Victor is from another country,	8	400	00:01:46b
	and he's about to go back home.	7	410	00:01:54a
	At a conference, he's met Sam and Lin.	8	420	00:02:00a
	It has been a great pleasure to meet you Sam and Lin.	12	430	00:02:03a
	We've enjoyed meeting you too Victor.	6	440	00:02:05a
	Yes, it's been great.	4	450	00:02:05b
	What a pity you have to go home.	8	460	00:02:09a
	There are various phrases you can use to express how enjoyable it was to meet someone.	16	470	00:02:09b
	Which one you use depends on how well you got to know them.	13	480	00:02:15a
	Practise some of these phrases with Victor.	7	490	00:02:22a
	It's been a great pleasure to meet you.	8	500	00:02:25a
	I have enjoyed meeting you.	5	510	00:02:33a
	I'm so glad to have met you.	7	520	00:02:37a
	Nice to meet you.	4	530	00:02:37b
	The phrase 'nice to meet you' would be used after one short meeting.	13	540	00:02:44a
	You can also use this phrase when you are introduced to someone.	12	550	00:02:51a
	What about the replies?	4	560	00:02:51b
	Practise them with Lin.	4	570	00:02:55a
	Nice to meet you.	4	580	00:02:55b
	You too.	2	590	00:03:00a
	It's been a pleasure to meet you.	7	600	00:03:00b
	And you.	2	610	00:03:06a
	Glad to have met you.	5	620	00:03:06b
	Glad to have met you too.	6	630	00:03:12a
	Notice that the reply should match the statement.	8	640	00:03:12b
	So if someone says:	4	650	00:03:12c
	I have enjoyed meeting you,	5	660	00:03:18a
	the reply can be,	4	670	00:03:18b
	So have I.	3	680	00:03:23a
	If someone says, It's been a pleasure to meet you,	10	690	00:03:23b
	the reply can be, A pleasure to meet you too,	10	700	00:03:29a
	or just And you.	4	710	00:03:29b
	Victor also says, I'm sure we'll meet again.	8	720	00:03:37a
	Here are some useful phrases to do with meeting again.	10	730	00:03:37b
	Practise them with Victor.	4	740	00:03:44a
	I'm sure we'll meet again.	5	750	00:03:48a
	Hopefully we'll meet again.	4	760	00:03:49a
	I hope we'll meet again soon.	6	770	00:03:49b
	Notice again here that the reply should match the statement,	10	780	00:03:58a
	so if someone says, I'm sure we'll meet again,	9	790	00:03:58b
	then the reply also uses 'am':	6	800	00:04:05a
	So am I.	3	810	00:04:05b
	After the statement, I hope we'll meet again,	8	820	00:04:05c
	the reply should be,	4	830	00:04:05d
	So do I.	3	840	00:04:17a
