DE	EN	LEN	ROW	TIME
Herr Smithers, dürfen wir Ihnen eine Mitfahrgelegenheit zur Arbeit anbieten?	Mr. Smithers, may we offer you a ride to work?	8	2	00:01:10a
	No, thank you.	3	3	00:01:14a
	We're from Globex Corporation.	4	4	00:01:16a
Wir würden gerne mit Ihnen über eine aufregende Beschäftigungsmöglichkeit sprechen...	We'd like to talk to you about an exciting employment opportunity...	11	5	00:01:19a
	...in our nuclear division.	4	6	00:01:19b
Geschmeichelt, aber schon vergeben.	Flattered, but spoken for.	4	7	00:01:23a
Wir sind bereit, Ihnen ein beeindruckendes Gehalt anzubieten.	We're prepared to offer you an impressive salary.	8	8	00:01:25a
Plus Vorteile für Sie und Ihre Lebenspartnerin.	Plus benefits for you and your life partner.	8	9	00:01:28a
Die Antwort lautet nein.	The answer is no.	4	10	00:01:29a
Was stimmt mit diesem Land nicht?	What's wrong with this country?	5	11	00:01:31a
Kann ein Mann nicht auf die Strasse gehen, ohne dass ihm ein Job angeboten wird?	Can't a man walk down the street without being offered a job?	12	12	00:01:36a
Wir müssen uns an den nächsthöheren Mann im Werk wenden.	We'll have to go to the next most senior man at the plant.	13	13	00:01:41a
Da wären wir.	Here we are.	3	14	00:01:41b
Zehn Jahre Erfahrung.	Ten years' experience.	3	15	00:01:41c
Marge, ich habe einen neuen Job.	Marge, I got a new job.	6	17	00:01:45b
	It's with Globex Corporation.	4	18	00:01:48a
Ich kriege mehr Geld, plus Gesundheitsleistungen für mich und meine Lebenspartnerin.	I get more money, plus health benefits for me and my life partner.	13	19	00:01:52a
Sie werden uns umziehen, uns ein schönes Haus geben...	They'll move us, give us a nice house...	8	20	00:01:52b
Uns umziehen?	Move us?	2	21	00:01:55a
	In Cypress Creek, upstate somewhere.	5	22	00:01:57a
Du hast einen Job in einer fremden Stadt angenommen, ohne es mit deiner Familie zu besprechen?	You took a job in a strange town without discussing it with your family?	14	23	00:02:01a
Natürlich nicht.	Of course not.	3	24	00:02:01b
Das würde ich nicht tun.	I wouldn't do that.	4	25	00:02:01c
	Why not?	2	26	00:02:05a
