DE	EN	LENGTH	TAGS	TIME
	Today we're looking at our new widget plant being built at Southside.	12	vtt	00:00:07
	I've asked Barbara to report on progress and bring us up to date and up to speed.	17	vtt	00:00:12
	Barbara?	01	vtt	00:00:18
	Thanks Denise.	02	vtt	00:00:18
	I'll just outline the process we've been through, identify some problems, and give you an estimate on completion time and the outcome financially.	23	vtt	00:00:29
	Is it good news or bad news?	07	vtt	00:00:31
	Bear with me.	03	vtt	00:00:31
	Now, if you recall, after a feasibility study, we put the project out to tender eighteen months ago, and selected Ezybuild as our project manager.	25	vtt	00:00:43
	Work commenced about fifteen months ago, and it's been progressing to schedule until recently.	14	vtt	00:00:49
	What's the problem?	03	vtt	00:00:51
	Unfortunately there are three: Firstly, there's been a delay in materials - specifically steel because of industrial issues at the suppliers.	21	vtt	00:00:58
	Secondly, we've lost days due to the weather.	08	vtt	00:01:05
	And finally, there's been a resulting cost blowout.	08	vtt	00:01:09
	So what are we going to do?	07	vtt	00:01:10
	Well, they've managed to get another supplier now.	08	vtt	00:01:10
	I suggested moving the completion date back.	07	vtt	00:01:15
	That way, there's no penalty, and they agreed to re-deploy their workers until building can start again.	17	vtt	00:01:22
	Smart thinking.	02	vtt	00:01:25
	We've been waiting for the rain to stop - but we can't control the weather!	15	vtt	00:01:29
	And the cost?	03	vtt	00:01:31
	At this stage, just a small overage.	07	vtt	00:01:31
	But I'll be watching it very closely over the next few months.	12	vtt	00:01:35
	With no more delays, we're expecting to complete the project just one month behind schedule.	15	vtt	00:01:42
	Good work Barbara.	03	vtt	00:01:46
	Humph Today's episode is a focussed meeting with a specific purpose.	11	vtt	00:01:56
	Barbara has been asked to report on the progress of a project.	12	vtt	00:01:56
	Our focus today is on the verb tenses she uses to report.	12	vtt	00:02:03
	Firstly, let's look at how Denise asks for Barbara's report.	10	vtt	00:02:10
	Today we're looking today at our new widget plant being built at Southside.	13	vtt	00:02:15
	I've asked Barbara to report on progress and bring us all up to date and up to speed.	18	vtt	00:02:21
	Denise says, Today we're looking at our new widget plant.	10	vtt	00:02:28
	She uses the present continuous tense, 'we're looking' or 'we are looking' because she's telling them what they are doing, and what they are going to do at the meeting now.	31	vtt	00:02:39
	She doesn't use the simple present 'we look', because that is used for regular actions.	15	vtt	00:02:45
	Then she says, I've asked Barbara to report.	08	vtt	00:02:50
	She uses the present perfect tense, 'I have asked' because she asked Barbara to report before the meeting, and Barbara is about to give her report.	26	vtt	00:03:00
	We'll look more at present perfect later.	07	vtt	00:03:04
	And she wants Barbara to bring them 'up to date' and 'up to speed'.	14	vtt	00:03:08
	These are common expressions.	04	vtt	00:03:08
	To bring someone 'up to date' is to tell them what has happened up to the present.	17	vtt	00:03:15
	And to bring someone 'up to speed' is to make sure they know all the relevant facts.	17	vtt	00:03:23
	How does Barbara respond?	04	vtt	00:03:23
	She says, I'll just outline the process.	07	vtt	00:03:40
	She uses the future tense, I will, because she's talking about something she's going to do in the next few minutes.	21	vtt	00:03:45
	Notice that the 'will' is not repeated, but it applies to all three of the things she says she is going to do.	23	vtt	00:03:58
	Let's see how Barbara reports on progress.	07	vtt	00:03:58
	Because Barbara is describing events in the past, she uses the simple past tense.	14	vtt	00:04:13
	We put the project out to tender.	07	vtt	00:04:20
	We selected Ezybuild as the project manager.	07	vtt	00:04:24
	These events happened in the past, and they are finished.	10	vtt	00:04:28
	Again we see the simple past in the phrase: Work commenced about fifteen months ago.	15	vtt	00:04:34
	The work started at a particular time in the past.	10	vtt	00:04:41
	But look at the next phrase: It's been progressing to schedule.	11	vtt	00:04:48
	When we look at continuous events - things that happen over a period of time, we use a continuous tense.	20	vtt	00:04:53
	The work started in the past, and it has continued until the present.	13	vtt	00:05:00
	This is called the present perfect continuous tense.	08	vtt	00:05:06
	It's here is short for, it has.	07	vtt	00:05:06
	Try some other examples with Barbara.	06	vtt	00:05:16
	Work's been going on since last year.	07	vtt	00:05:24
	We've been monitoring progress continuously.	05	vtt	00:05:30
	I've been checking the work regularly.	06	vtt	00:05:30
	Now let's look at how Barbara describes the three problems.	10	vtt	00:05:38
	Firstly, there's been a delay in materials specifically steel because of industrial issues at the suppliers.	16	vtt	00:05:43
	And finally, there's been a cost blowout.	07	vtt	00:05:55
	Notice the verb tense Barbara uses.	06	vtt	00:05:58
	there's been a delay we've lost days there's been a cost blowout These are all present perfect verbs, using 'has' or 'have'.	22	vtt	00:06:12
	there has been we have lost Present perfect tense is used to describe events which began in the past and are still true now.	24	vtt	00:06:24
	In business it can be important to use the correct verb tense.	12	vtt	00:06:24
	Using the wrong one can change the meaning.	08	vtt	00:06:30
	For example, if Barbara said, There was a delay, it means this delay happened in the past, and there is no delay now.	23	vtt	00:06:43
	If she says, there is a delay, she means that delay is still happening - they are still losing time.	20	vtt	00:06:50
	But if she says there has been a delay, she means the delay started in the past and has continued up until the present.	24	vtt	00:06:56
	But as we'll see, she is now fixing the problem.	10	vtt	00:07:03
	Let's look at the verb tenses here: They've managed to get another supplier.	13	vtt	00:07:17
	They managed to get another supplier in the past, and that supplier is still now supplying the materials.	18	vtt	00:07:28
	She suggested it at a particular time in the past.	10	vtt	00:07:34
	There's no penalty.	03	vtt	00:07:34
	There is no penalty now.	05	vtt	00:07:41
	They agreed to redeploy their workers.	06	vtt	00:07:41
	They agreed at a particular time in the past.	09	vtt	00:07:41
	Redeployed means they were sent to work somewhere else.	09	vtt	00:07:49
	Look now at the last part of the scene.	09	vtt	00:07:56
	We've been waiting for the rain to stop, but we can't control the weather!	14	vtt	00:08:01
	Here we see some examples of continuous tenses to help meaning.	11	vtt	00:08:17
	We've been waiting - We have been waiting for the rain to stop, and we are still waiting.	18	vtt	00:08:22
	I'll be watching - I will be watching in the future over a long time.	15	vtt	00:08:30
	We're expecting - we are expecting at the moment, and we will continue to expect in the future.	18	vtt	00:08:41
	Notice also how Denise asks a question.	07	vtt	00:08:41
	But we can't control the weather!	06	vtt	00:08:41
	She says, and the cost?	05	vtt	00:08:47
	The upward inflection in her voice, and the cost?	09	vtt	00:08:52
	tells us this is a question, although it's not a complete sentence.	12	vtt	00:08:58
	The complete sentence would be, What will it cost?	09	vtt	00:08:58
	In spoken English, this is very common.	07	vtt	00:09:07
	Practise some examples with Denise.	05	vtt	00:09:07
	And the result?	03	vtt	00:09:18
	And the reason?	03	vtt	00:09:18
	Today we looked at reporting back.	06	vtt	00:09:18
	Remember, first summarise what you are going to report on.	10	vtt	00:09:25
	We also focussed on the different verb tenses, which help exact meaning.	12	vtt	00:09:34
	That's all we have time for today, so I hope we'll be seeing you next time for The Business of English.	21	vtt	00:09:41
