DE	EN	LEN	ROW	TIME
Nun, es war schön, Sie kennenzulernen, Sam,	Well, it's been good to meet you Sam,	8	10	00:00:08a
und sehr interessant, von Ihrem Unternehmen zu hören.	and very interesting to hear about your business.	8	20	00:00:13a
Schauen Sie, wir veranstalten danach ein kleines Abendessen für einige unserer Kunden und Freunde.	Look, we are having a small dinner for some of our clients and friends after this.	16	30	00:00:13b
Warum schließen Sie sich uns nicht an?	Why don't you join us?	5	40	00:00:19a
Das ist sehr nett von Ihnen.	That's very kind of you.	5	50	00:00:19b
Ich werde einfach mit meiner Partnerin klären, ob es andere Vereinbarungen für uns gibt.	I'll just check with my associate whether they have other arrangements for us.	13	60	00:00:23a
Auch Ihre Partnerin ist bei uns herzlich willkommen.	Your associate is most welcome to join us too.	9	70	00:00:26a
Vielen Dank - entschuldigen Sie mich.	Thank you - excuse me.	5	80	00:00:27a
Das ist Sam Eriks von Eriks Importe.	This is Sam Eriks from Eriks imports.	7	90	00:00:27b
Er hat uns sehr freundlich zu einem Abendessen eingeladen.	He has very kindly invited us to a dinner.	9	100	00:00:37a
Ja, möchten Sie sich zu uns gesellen?	Yes, would you like to join us?	7	110	00:00:39a
Leider habe ich einen anderen Termin,	Unfortunately I have another engagement,	5	120	00:00:39b
aber danke für die Einladung.	but thank you for the invitation.	6	130	00:00:42a
Nun, vielleicht könnten Sie uns danach auf einen Drink Gesellschaft leisten?	Well, perhaps you could join us after that for a drink?	11	140	00:00:46a
Klingt großartig, ich würde mich freuen.	Sounds great, I'd be happy to.	6	150	00:00:46b
Wo sollen wir uns treffen?	Where shall we meet?	4	160	00:00:51a
Wie wäre es mit der Lounge-Bar hier, so gegen zehn?	How about the lounge bar here, at about ten?	6	170	00:00:51b
Wir sehen uns dann.	I'll see you then.	4	190	00:00:54b
Entschuldigen Sie mich.	Excuse me.	2	200	00:00:57a
Lin. Victor isst mit uns zu Abend.	Lin. Victor's joining us for dinner.	6	210	00:00:59a
Oh, wunderbar.	Oh wonderful.	2	220	00:01:01a
Ich hoffe, Sie haben nichts dagegen.	I hope you don't mind.	5	230	00:01:02a
Natürlich nicht, Sie sind sehr willkommen.	Of course not, you're most welcome.	6	240	00:01:05a
Nun, sollen wir loslegen?	Well, shall we make a move?	6	250	00:01:07a
Würde es Ihnen etwas ausmachen, wenn ich mich nur von ein paar Leuten verabschiede?	Would you mind if I just say goodbye to a few people?	12	260	00:01:10a
Kein Problem - wir sehen uns in ein paar Minuten draußen.	No problem - we'll see you outside in a few minutes.	11	270	00:01:12a
	Okay. Let's look at invitations.	5	280	00:01:19a
	How do you go about inviting someone to something?	9	290	00:01:19b
	How does Sam invite Victor to his dinner?	8	300	00:01:26a
	Look, we're having a small dinner for some of our clients and friends after this.	15	310	00:01:30a
	Why don't you join us?	5	320	00:01:34a
	Spoken invitations in this kind of situation are semi-formal.	9	330	00:01:34b
	It's more like a suggestion than a formal invitation.	9	340	00:01:41a
	There are a few different phrases you can use.	9	350	00:01:41b
	Practise them with Sam.	4	360	00:01:48a
	Why don't you join us?	5	370	00:01:54a
	Perhaps you could join us?	5	380	00:01:58a
	It would be great if you could join us.	9	390	00:02:03a
	Would you like to join us?	6	400	00:02:03b
	Notice that even though, It would be great if you could join us is not in a question form,	19	410	00:02:10a
	it is still being used as a question.	8	420	00:02:17a
	Notice also how we use could and would in polite invitations,	11	430	00:02:17b
	not can or will.	4	440	00:02:17c
	How does Victor reply?	4	450	00:02:26a
	That's very kind of you.	5	460	00:02:29a
	He says, That's very kind of you.	7	470	00:02:29b
	When replying to an invitation,	5	480	00:02:29c
	first thank the other person for the invitation,	8	490	00:02:35a
	then give your answer.	4	500	00:02:35b
	Here's Victor with some different ways of doing this:	9	510	00:02:41a
	Thank you.	2	520	00:02:47a
	That's very kind of you.	5	530	00:02:50a
	That sounds good.	3	540	00:02:50b
	And you can put them all together,	7	550	00:02:50c
	like this:	2	560	00:02:57a
	Thank you.	2	570	00:02:57b
	That's very kind of you.	5	580	00:03:00a
	Sounds good.	2	590	00:03:00b
