DE	EN	LEN	ROW	TIME
Jetzt schauen wir uns die Optionen für die Abwicklung unserer Online-Bestellungen an.	Now we're looking at the options for handling our on-line orders.	11	10	00:00:10a
Sie gehen durch die Decke, und ehrlich gesagt, die Vorlaufzeit für die Lieferung ist in die Höhe geschossen.	They're going through the roof and frankly the lead-time for delivery is blowing out.	14	20	00:00:15a
Wir müssen unsere Leistung in diesem Bereich verbessern.	We need to improve our performance in this area.	9	30	00:00:22a
Irgendwelche Vorschläge?	Any suggestions?	2	40	00:00:25a
Nun, wie ich es sehe, haben wir drei Optionen.	Well, as I see it, we have three options.	9	50	00:00:25b
Die naheliegendste ist, mehr Leute für die Arbeit einzustellen.	The obvious one is to employ more people to do the job.	12	60	00:00:30a
Eine andere Alternative ist, das System stärker zu automatisieren -	Another alternative is to automate the system more -	9	70	00:00:30b
die physische Handhabung zu reduzieren.	cut down on the physical handling.	6	80	00:00:37a
Und die dritte Option?	And the third option?	4	90	00:00:39a
Wir könnten auslagern.	We could outsource.	3	100	00:00:41a
Was sind die Vor- und Nachteile?	What are the pros and cons?	6	110	00:00:43a
Nun, wenn wir Personalaufstockung und Automatisierung gegeneinander abwägen,	Well, looking at increasing staff versus automation,	7	120	00:00:43b
müssen wir die Kosten berücksichtigen.	we have to consider the cost.	6	130	00:00:43c
Die Automatisierung hat höhere Investitionen als der Einsatz von mehr Personal.	Automating has a higher capital cost than putting on more staff.	11	140	00:00:49a
Auf der anderen Seite ist die Beschäftigung von mehr Mitarbeitern langfristig teurer.	On the other hand, employing more people is more expensive over a long term.	14	150	00:00:55a
Wenn wir weiter wachsen, wird es auf lange Sicht mehr kosten.	If we keep growing, it'll cost more in the long run.	11	160	00:01:01a
Wie wahrscheinlich ist es, dass wir weiterhin wachsen werden?	How likely is it that we'll see continued growth?	9	170	00:01:05a
Ich würde sagen, es ist eine Tatsache.	I'd say it's a certainty.	5	180	00:01:07a
Ich würde sagen, eine hohe Wahrscheinlichkeit.	I'd say a high probability.	5	190	00:01:07b
Nichts ist sicher im Geschäftsleben.	Nothing's certain in business.	4	200	00:01:11a
Was ist also mit der dritten Option?	So what about the third option?	6	210	00:01:13a
Outsourcing?	Outsourcing?	1	220	00:01:13b
Nun, es nimmt uns das Problem aus den Händen.	Well, it does take the problem off our hands.	9	230	00:01:13c
Aber wir verlieren den Kontakt zu unseren Kunden.	But we lose contact with our customers.	7	240	00:01:19a
Was ist unter dem Strich?	What about the bottom line?	5	250	00:01:21a
Outsourcing ist die billigste Option,	Outsourcing is the cheapest option,	5	260	00:01:21b
und die einfachste - auf kurze Sicht.	and the easiest - in the short term.	8	270	00:01:21c
Aber wenn wir die Operation im Haus behalten wollen,	But if we want to keep the operation in-house,	9	280	00:01:26a
die beste Option ist die Automatisierung unseres Systems.	the best option is automating our system.	7	290	00:01:26b
Der einzige Nachteil ist, dass wir das Risiko eingehen, dass unser Geschäft weiter wächst.	The only down side is, we're taking a risk that our business will keep growing.	15	300	00:01:36a
Was wir hoffen, dass es so sein wird.	Which we hope it will.	5	310	00:01:38a
Das tun wir mit Sicherheit.	We certainly do.	3	320	00:01:38b
#h2. Wir haben vorher die formellen Meetings angeschaut.	We've looked before at formal meetings.	6	330	00:01:38c
Das heutige Meeting ist ein informelleres,	Today's meeting is a more informal one,	7	340	00:01:50a
um ein bestimmtes Thema zu diskutieren.	to discuss a specific issue.	5	350	00:01:50b
Die Diskussion ist eher frei fließend,	The discussion is more free-flowing,	5	360	00:01:57a
oder unkontrolliert.	or uncontrolled.	2	370	00:01:57b
	Let's look first at some of the language used by Denise when she introduces the problem.	16	380	00:02:05a
	Now we're looking at the options for handling our on-line orders.	11	390	00:02:09a
	They're going through the roof and frankly the lead-time for delivery is blowing out.	14	400	00:02:15a
	We need to improve our performance in this area.	9	410	00:02:20a
	Denise says,	2	420	00:02:20b
	We're looking at the options.	5	430	00:02:24a
	Options are different solutions,	4	440	00:02:24b
	or answers, to a problem.	5	450	00:02:24c
	What is the problem?	4	460	00:02:24d
	On-line orders are going through the roof.	7	470	00:02:35a
	On-line orders are orders for goods received through the internet,	10	480	00:02:35b
	and if they're going through the roof,	7	490	00:02:40a
	they are increasing in number very rapidly.	7	500	00:02:43a
	The lead-time for delivery is the amount of time it takes from when the order is received to	18	510	00:02:51a
	when it's delivered, and if it's blowing out -	9	520	00:02:51b
	that time is becoming too long.	6	530	00:02:51c
	We use the expression blowing out for something which is becoming too great,	13	540	00:02:58a
	in a bad way.	4	550	00:03:06a
	So to improve our performance means,	6	560	00:03:06b
	in this case, to shorten the time it takes to deliver goods.	12	570	00:03:14a
	Let's look at Tan's suggested options.	6	580	00:03:14b
	Well, as I see it, we have three options.	9	590	00:03:20a
	The obvious one is to employ more people to do the job.	12	600	00:03:20b
	Another alternative is to automate the system more -	9	610	00:03:26a
	cut down on the physical handling.	6	620	00:03:29a
	And the third option?	4	630	00:03:31a
	We could outsource.	3	640	00:03:31b
	Tan describes three options.	4	650	00:03:31c
	First he lets us know that this is his opinion,	10	660	00:03:37a
	by saying, As I see it.	6	670	00:03:42a
	Practise with Tan some different ways of letting someone know that what you're stating is your	16	680	00:03:42b
	opinion.	1	690	00:03:48a
	As I see it, there are three options.	8	700	00:03:56a
	In my opinion there are three options.	7	710	00:04:01a
	From my point of view there are three options.	9	720	00:04:07a
	As far as I'm concerned, there are three options.	9	730	00:04:07b
	The three options are:	4	740	00:04:07c
	employ more people, automate,	4	750	00:04:15a
	and outsource.	2	760	00:04:18a
	To outsource means to use an outside company.	8	770	00:04:18b
	When presenting different options,	4	780	00:04:18c
	we can order them by numbers,	6	790	00:04:26a
	like this.	2	800	00:04:26b
	Firstly, we could employ more people,	6	810	00:04:26c
	secondly we could automate,	4	820	00:04:35a
	and thirdly we could outsource.	5	830	00:04:41a
	We can also use phrases, such as 'one option is to' and 'another option is to'.	16	840	00:04:51a
	We can also use linking words,	6	850	00:04:51b
	such as 'or' and 'alternatively'.	5	860	00:04:58a
	Or, we can use a combination of these methods.	9	870	00:05:05a
	Now let's look at the language used to discuss these options.	11	880	00:05:09a
	Well, looking at increasing staff versus automation,	7	890	00:05:09b
	we have to consider the cost.	6	900	00:05:09c
	Automating has a higher capital cost than putting on more staff.	11	910	00:05:16a
	On the other hand, employing more people is more expensive over a long term.	14	920	00:05:21a
	When considering two options,	4	930	00:05:21b
	we are comparing them.	4	940	00:05:27a
	Barbara talks about increasing staff versus automation.	7	950	00:05:27b
	She is saying that she is going to compare these two things.	12	960	00:05:35a
	Another phrase she could use is 'as against'.	8	970	00:05:35b
	Practise with her.	3	980	00:05:44a
	Let's look at increased staff versus automation.	7	990	00:05:53a
	Let's look at increased staff as against automation.	8	1000	00:05:53b
	When comparing two things,	4	1010	00:05:53c
	we use comparative adjectives.	4	1020	00:06:05a
	Listen to Barbara again, and see if you can hear the two comparative adjectives.	14	1030	00:06:12a
	Automating has a higher capital cost than putting on more staff.	11	1040	00:06:12b
	On the other hand, employing more people is more expensive over a long term.	14	1050	00:06:21a
	She says automating has a higher capital cost than putting on more staff.	13	1060	00:06:21b
	Higher is a comparative adjective.	5	1070	00:06:31a
	We often use 'than' for the option that is being compared.	11	1080	00:06:31b
	Remember for words of longer than two syllables,	8	1090	00:06:38a
	we use 'more' for the comparative.	6	1100	00:06:38b
	Employing more people is more expensive.	6	1110	00:06:45a
	Because Barbara has already said what the second option is,	10	1120	00:06:45b
	automating, she doesn't need to say employing more people is more expensive than automating	14	1130	00:06:52a
	. Notice that she uses the phrase 'on the other hand'.	11	1140	00:06:59a
	This is used to introduce another side to an argument.	10	1150	00:07:05a
	Practise this with Barbara.	4	1160	00:07:05b
	On the one hand automation is expensive.	7	1170	00:07:15a
	On the other hand it's more efficient.	7	1180	00:07:15b
	Another way of comparing two ideas is to use linking words such as but ,	15	1190	00:07:23a
	although and however .	4	1200	00:07:30a
	Automation is expensive, but it's more efficient.	7	1210	00:07:37a
	Although automation is expensive,	4	1220	00:07:37b
	it's more efficient.	3	1230	00:07:46a
	Automation is expensive, however it's more efficient.	7	1240	00:07:53a
	Now listen to the discussion about the likelihood of continued growth.	11	1250	00:07:58a
	How likely is it that we'll see continued growth?	9	1260	00:08:02a
	I'd say it's a certainty.	5	1270	00:08:05a
	I'd say a high probability.	5	1280	00:08:05b
	Nothing's certain in business.	4	1290	00:08:08a
	Denise asks how likely continued growth is.	7	1300	00:08:08b
	In looking at words to describe likelihood,	7	1310	00:08:15a
	we can use these words:	5	1320	00:08:15b
	unlikely possible probable certain	4	1330	00:08:25a
	So we can say:	4	1340	00:08:25b
	It's unlikely It's possible And so on.	7	1350	00:08:34a
	We can also qualify these with words such as:	9	1360	00:08:34b
	very, quite, highly or reasonably It' s very unlikely It's quite possible Its highly probable	15	1370	00:08:48a
	It's reasonably certain And in a different kind of sentence,	10	1380	00:08:54a
	we can use them as nouns:	6	1390	00:09:00a
	It's a certainty It's a possibility	6	1400	00:09:04a
	There's a probability	3	1410	00:09:04b
	There's a high likelihood But we don't say,	8	1420	00:09:10a
	There's an unlikelihood.	3	1430	00:09:10b
	We say,	2	1440	00:09:10c
	There's no likelihood.	3	1450	00:09:18a
	Finally, look at what happens when we compare more than two options.	12	1460	00:09:23a
	Outsourcing is the cheapest option,	5	1470	00:09:23b
	and the easiest, in the short term.	7	1480	00:09:23c
	But if we want to keep the operation in-house,	9	1490	00:09:29a
	the best option is automating our system.	7	1500	00:09:33a
	Did you hear the superlative adjectives used to compare more than two things.	13	1510	00:09:38a
	Listen again.	2	1520	00:09:38b
	There are three.	3	1530	00:09:38c
	Outsourcing is the cheapest option,	5	1540	00:09:38d
	and the easiest, in the short term.	7	1550	00:09:44a
	But if we want to keep the operation in-house,	9	1560	00:09:44b
	the best option is automating our system.	7	1570	00:09:50a
	Well our bottom line is that that's all we have time for today so I hope it's quite certain	19	1580	00:09:54a
	I'll see you next time for	6	1590	00:09:54b
	The Business of English.	4	1600	00:10:00a
