DE	EN	LEN	ROW	TIME
Hallo, Lin Chan, Sales Manager für National Sugar -	Hello, Lin Chan, Sales Manager for National Sugar -	9	10	00:00:09a
und mein Partner John Martin.	and my associate John Martin.	5	20	00:00:14a
Sehr erfreut, Sie kennenzulernen.	Very pleased to meet you.	5	30	00:00:14b
Ich bin Victor Tang, und dies ist meine Rechtsberaterin Sue Panay.	I'm Victor Tang, and this is my legal adviser Sue Panay.	11	40	00:00:19a
Ich hoffe, Sie hatten einen angenehmen Flug.	I hope you had a pleasant flight over.	8	50	00:00:20a
Ja, das hatten wir, danke.	Yes, we did thanks.	4	60	00:00:21a
Bleiben Sie für ein paar Tage?	Are you staying for a few days?	7	70	00:00:23a
Leider müssen wir morgen wieder nach Manila zurückkehren.	Unfortunately we need to get back to Manila tomorrow.	9	80	00:00:25a
Nun, wir kommen besser zur Sache.	Well, we'd better get down to business.	7	90	00:00:25b
Herr Tang, für den Anfang,	Mr Tang, to start off with,	6	100	00:00:25c
Ich wollte nur sagen, dass wir glauben, dass wir Ihnen ein sehr gutes Angebot machen können.	I just want to say we believe we can offer you a very good deal		110	00:00:36a
und zu einem für alle Beteiligten vorteilhaften Ergebnis kommen.	and come up with a win-win result.		110	00:00:36b
Nun, aus unserer Sicht,	Well, from our point of view,	6	120	00:00:41a
wir sehen es als ein Erkundungsgespräch -	we see it as an exploratory talk -	8	130	00:00:41b
das Wasser testen, könnte man sagen.	testing the water you might say.	6	140	00:00:47a
Wir haben nicht die Absicht, bei diesem Treffen zu einer Einigung zu kommen, -	We don't intend to reach any agreements at this meeting -	11	150	00:00:47b
Auf jeden Fall müssten wir es zuerst mit unserem Vorstand besprechen.	in any case we would need to run it past our board first.	13	160	00:00:53a
Sie haben unsere Bedingungen noch nicht gehört -	You haven't heard our terms yet -	7	170	00:00:53b
Sie können ihnen nur schwer widerstehen!	you may find them hard to resist!	7	180	00:00:56a
Natürlich verstehen wir, dass Sie Zeit brauchen, um über ein Angebot nachzudenken.	Of course we understand you need time to consider any offer.	11	190	00:00:58a
Meine erste Priorität ist es, die Verhandlungen offen zu halten.	My first priority is to keep the negotiations open.	9	200	00:01:06a
Was ist Ihr Vorschlag, Frau Chan?	What's your proposal Ms Chan?	5	210	00:01:08a
Wir sind bereit, einen sehr attraktiven Preis für einen Mindestverkauf anzubieten,	We're prepared to offer a very attractive price for a minimum sale,	12	220	00:01:08b
als Gegenleistung für einen Zweijahresvertrag.	in exchange for a two-year contract.	6	230	00:01:13a
John wird die Bedingungen klären.	John will clarify the terms.	5	240	00:01:25a
	A negotiation is a discussion that should result in an agreement or business contract.	14	250	00:01:31a
	The discussion is usually between two parties or organisations -	10	260	00:01:31b
	trying to reach an agreement satisfactory to both.	8	270	00:01:40a
	In a negotiation, we need to reach a position that it is not too difficult for either side to	19	280	00:01:45a
	accept, so the language we use is important and it's also important to listen carefully.	15	290	00:01:54a
	When starting a negotiation,	4	300	00:01:54b
